Id,Name,Title,Release,BGG Ranking,BGG Rating,Average Rating,Average Rating Z,Tags
95103,Fortune and Glory: The Cliffhanger Game,"<a href=""https://boardgamegeek.com/boardgame/95103"">Fortune and Glory: The Cliffhanger Game</a><br><img src=""https://cf.geekdo-images.com/ZTonaNNH9zTKfqNVYPVq6Q__thumb/img/lSN23PG2Gaj6tY1QFXdeAj9kGGI=/fit-in/200x150/filters:strip_icc()/pic946736.jpg"" alt=""Fortune and Glory: The Cliffhanger Game"">",2011,#976,6.5,6.2057692307692305,-0.33116119076388034,"Adventure, Miniatures"
255615,GoodCritters,"<a href=""https://boardgamegeek.com/boardgame/255615"">GoodCritters</a><br><img src=""https://cf.geekdo-images.com/3dcCBokxRf3Jy1GuZlZm1Q__thumb/img/bhLAU5iY8tF-BcrRn-xt7JrmUZI=/fit-in/200x150/filters:strip_icc()/pic4783029.jpg"" alt=""GoodCritters"">",2018,#2149,6.1,7.8,0.10999260168790617,"Animals, Bluffing, Negotiation, Party Game"
176361,One Night Revolution,"<a href=""https://boardgamegeek.com/boardgame/176361"">One Night Revolution</a><br><img src=""https://cf.geekdo-images.com/0SFLHa5hNmtdL0LpqCN2kA__thumb/img/DBscKuzoek17BGUcjPLVgQeoNTc=/fit-in/200x150/filters:strip_icc()/pic2513302.jpg"" alt=""One Night Revolution"">",2015,#3905,5.8,6.504636363636364,-0.4272533311315424,"Bluffing, Card Game, Deduction, Negotiation, Party Game, Science Fiction, Spies/Secret Agents"
245422,Werewords Deluxe Edition,"<a href=""https://boardgamegeek.com/boardgame/245422"">Werewords Deluxe Edition</a><br><img src=""https://cf.geekdo-images.com/77oWoTv9Jrd-haIPL_SwwA__thumb/img/uSPzvF4DktolqeFY-HYVdaGMqz0=/fit-in/200x150/filters:strip_icc()/pic3966906.jpg"" alt=""Werewords Deluxe Edition"">",2018,#1285,6.4,8.363999999999999,0.9248755817986697,"Deduction, Party Game, Word Game"
38386,A Castle for All Seasons,"<a href=""https://boardgamegeek.com/boardgame/38386"">A Castle for All Seasons</a><br><img src=""https://cf.geekdo-images.com/HEHduHVfdLULQHoWLu-Sqw__thumb/img/HnBxzNEHY0vivRABnTIRmBR_aPU=/fit-in/200x150/filters:strip_icc()/pic400762.jpg"" alt=""A Castle for All Seasons"">",2008,#1522,6.3,6.769565217391304,0.07591610064008485,"City Building, Medieval"
4286,A Game of Thrones Collectible Card Game,"<a href=""https://boardgamegeek.com/boardgame/4286"">A Game of Thrones Collectible Card Game</a><br><img src=""https://cf.geekdo-images.com/oXhIxCAOQKDwOHHNIHtERA__thumb/img/5sfbXyLVNWqReZFHIgdBMoYQ0Mc=/fit-in/200x150/filters:strip_icc()/pic115315.jpg"" alt=""A Game of Thrones Collectible Card Game"">",2002,#3565,5.8,6.9750000000000005,-0.24715993324482974,"Card Game, Collectible Components, Fantasy, Novel-based"
39351,Automobile,"<a href=""https://boardgamegeek.com/boardgame/39351"">Automobile</a><br><img src=""https://cf.geekdo-images.com/lJOntTfaU-lbCZsFcRxA8A__thumb/img/dUoQJ_WTooIEcPfMOi8E7Lt66_8=/fit-in/200x150/filters:strip_icc()/pic744514.jpg"" alt=""Automobile"">",2009,#499,6.9,7.020930232558141,0.16474221545660742,"Economic, Industry / Manufacturing"
17970,Axis & Allies Miniatures,"<a href=""https://boardgamegeek.com/boardgame/17970"">Axis &amp; Allies Miniatures</a><br><img src=""https://cf.geekdo-images.com/JXOo3Ist8gCzRsoLtZR1kg__thumb/img/w9AL2dQjkMPuUBJVzUvEX_Qwgyg=/fit-in/200x150/filters:strip_icc()/pic265018.jpg"" alt=""Axis &amp; Allies Miniatures"">",2005,#3464,5.8,5.51,-0.6351393681057409,"Collectible Components, Miniatures, Wargame, World War II"
19237,Ca$h 'n Gun$,"<a href=""https://boardgamegeek.com/boardgame/19237"">Ca$h &#x27;n Gun$</a><br><img src=""https://cf.geekdo-images.com/_UpTZr1itCcHdnnbuTUnQQ__thumb/img/2gdcEzRm31_zsb2WqS65lHjsGas=/fit-in/200x150/filters:strip_icc()/pic87523.jpg"" alt=""Ca$h &#x27;n Gun$"">",2005,#1228,6.4,6.465895833333334,-0.21206626163716333,"Bluffing, Card Game, Fighting, Humor, Mafia, Negotiation, Party Game"
7717,Carcassonne: The Castle,"<a href=""https://boardgamegeek.com/boardgame/7717"">Carcassonne: The Castle</a><br><img src=""https://cf.geekdo-images.com/b93sGgQU_QKNRsynhBAuVA__thumb/img/RsiqZlVAQ0PKiV9NeIn14Vbpe1s=/fit-in/200x150/filters:strip_icc()/pic2606367.jpg"" alt=""Carcassonne: The Castle"">",2003,#625,6.8,7.040086206896553,0.12547308133991325,"City Building, Medieval"
16216,Carcassonne: The Discovery,"<a href=""https://boardgamegeek.com/boardgame/16216"">Carcassonne: The Discovery</a><br><img src=""https://cf.geekdo-images.com/v33XDn-IOU1gRw4pJ5tflQ__thumb/img/jsfl0tbloSR49xZKpHEM94WDrQY=/fit-in/200x150/filters:strip_icc()/pic134384.jpg"" alt=""Carcassonne: The Discovery"">",2005,#2300,6.0,6.0075,-0.41171857164057774,Medieval
1475,Careers,"<a href=""https://boardgamegeek.com/boardgame/1475"">Careers</a><br><img src=""https://cf.geekdo-images.com/Pqmb5UM1h1SsBhjrCY0bkA__thumb/img/M5N1qUFNe12-bvcT9O-91V7tNkk=/fit-in/200x150/filters:strip_icc()/pic457195.jpg"" alt=""Careers"">",1955,#5894,5.6,5.2,-0.8087306455000545,Economic
39938,Carson City,"<a href=""https://boardgamegeek.com/boardgame/39938"">Carson City</a><br><img src=""https://cf.geekdo-images.com/DxNZPNkfjS-exbFa_ASi0Q__thumb/img/ABNJVaqRzjMTxfs8Rn7IZWXFN4s=/fit-in/200x150/filters:strip_icc()/pic577030.jpg"" alt=""Carson City"">",2009,#508,6.9,6.812547169811321,0.06422856185128101,"American West, City Building, Economic"
47,Chinatown,"<a href=""https://boardgamegeek.com/boardgame/47"">Chinatown</a><br><img src=""https://cf.geekdo-images.com/QnIOe-1wb8_zuxglKjAwOQ__thumb/img/CyDOXyRu7MHfn2ZS9pb9XmOStv0=/fit-in/200x150/filters:strip_icc()/pic2037509.png"" alt=""Chinatown"">",1999,#375,7.0,7.331736842105264,0.44152651834937945,"City Building, Economic, Negotiation"
9408,Dos Rios,"<a href=""https://boardgamegeek.com/boardgame/9408"">Dos Rios</a><br><img src=""https://cf.geekdo-images.com/h0DWk5AEnZmkuBytAlWY7Q__thumb/img/WS71DmI7uSSACeDQVFiE5G-RCOg=/fit-in/200x150/filters:strip_icc()/pic224460.jpg"" alt=""Dos Rios"">",2004,#3038,5.9,6.25625,-0.36201829716020756,"Economic, Farming, Territory Building"
